time,linear_max,linear_coherence,linear_total,saturating_max,saturating_coherence,saturating_total
0.0,0.8,0.7370913994947579,1574.9609937380444,0.8,0.7370913994947579,1574.9609937380444
1.0000000000000007,0.7134367342267705,0.7032971478123042,1574.9609937380446,0.7619831037325288,0.7059693293218018,1588.998779574204
2.0000000000000013,0.6413564290605008,0.6711058207444793,1574.9609937380446,0.7171978729952031,0.6763792115853215,1600.5244544302207
2.99999999999998,0.5805942803244936,0.64060116250459,1574.9609937380446,0.6683355800846277,0.6482411090665174,1609.9231645665977
3.9999999999999587,0.5288189526054553,0.6117972527541463,1574.9609937380446,0.6187057032949904,0.6214714953914195,1617.5526167068629
4.999999999999938,0.48428006166072096,0.5846630126749004,1574.9609937380444,0.5709342472234764,0.5959983337887724,1623.7366483816122
5.9999999999999165,0.44564107208366927,0.5591391932816483,1574.9609937380442,0.5265328769334681,0.5717620451452476,1628.7561190211145
6.999999999999895,0.4118660152953168,0.5351500173267528,1574.9609937380444,0.48610476054964263,0.5487121200072838,1632.845146255539
7.999999999999874,0.3821410220310019,0.5126110654451875,1574.9609937380444,0.44969648325702527,0.5268033434345,1636.1933036607704
8.999999999999853,0.35581891022920076,0.49143454483436483,1574.9609937380444,0.4170717178373828,0.5059928646124238,1638.9513142851001
9.999999999999831,0.3323793669427287,0.4715327443440422,1574.9609937380446,0.3878775885593368,0.4862382910777654,1641.2378379729068
