amplitude,initial_max,final_max,retention,resistance_at_peak,always_decaying
0.9999,0.9999,0.9999,1.0,0.00019998999999992773,False
0.999,0.999,0.999,1.0,0.001998999999999973,False
0.998,0.998,0.998,1.0,0.0039959999999999996,False
0.997,0.997,0.997,1.0,0.005990999999999969,False
0.996,0.996,0.996,1.0,0.007983999999999991,False
0.995,0.995,0.995,1.0,0.009974999999999956,False
0.99,0.99,0.99,1.0,0.01990000000000003,False
0.98,0.98,0.9799999999999767,0.9999999999999762,0.03960000000000008,False
0.97,0.97,0.9699999999943639,0.9999999999941896,0.05910000000000004,False
0.96,0.96,0.9599999997925582,0.9999999997839149,0.07840000000000003,False
0.95,0.95,0.949999997049769,0.9999999968944937,0.09750000000000003,False
