n,amplitude,sigma,initial_max,final_max,retention,resistance_at_peak,oscillation_variance,status
2,0.85,5.0,0.85,0.39726180360159313,0.4673668277665802,0.2775000000000001,0.005608411621496892,dissipated
2,0.9,5.0,0.9,0.4384397539950412,0.48715528221671245,0.18999999999999995,0.007002778522639179,dissipated
2,0.95,5.0,0.95,0.4905119744289966,0.5163283941357859,0.09750000000000003,0.009209871535175919,dissipated
2,0.98,5.0,0.98,0.5337996733517939,0.5446935442365244,0.03960000000000008,0.011783640738043917,dissipated
2,0.99,5.0,0.99,0.5536351239836583,0.5592273979632912,0.01990000000000003,0.013576577232360105,dissipated
3,0.85,5.0,0.85,0.35803307614715063,0.42121538370253014,0.3858750000000001,0.004822120858495725,dissipated
3,0.9,5.0,0.9,0.3887551328016894,0.43195014755743266,0.2709999999999999,0.005939968403286357,dissipated
3,0.95,5.0,0.95,0.4255312555759221,0.4479276374483391,0.1426250000000001,0.007671253647649682,dissipated
3,0.98,5.0,0.98,0.45402981779727275,0.4632957324461967,0.05880800000000008,0.009548693739341254,dissipated
3,0.99,5.0,0.99,0.4662730293080752,0.4709828578869446,0.029700999999999977,0.010651338902859048,dissipated
4,0.85,5.0,0.85,0.34287270831373085,0.40337965683968335,0.4779937500000001,0.004303401189462315,dissipated
4,0.9,5.0,0.9,0.36893267285315434,0.40992519205906036,0.3439,0.005177788988157677,dissipated
4,0.95,5.0,0.95,0.39892813996442766,0.4199243578572923,0.18549375000000012,0.0064566644271295765,dissipated
4,0.98,5.0,0.98,0.421073977673104,0.4296673241562286,0.07763184000000012,0.007730858805329509,dissipated
4,0.99,5.0,0.99,0.4302001373527589,0.4345455932856151,0.039403990000000055,0.008412261532904274,dissipated
5,0.85,5.0,0.85,0.33605161551554424,0.39535484178299324,0.5562946875000001,0.00400996298279513,dissipated
5,0.9,5.0,0.9,0.3597057664024014,0.399673073780446,0.40950999999999993,0.004733904706709505,dissipated
5,0.95,5.0,0.95,0.38617958878575076,0.4065048303007903,0.22621906250000023,0.005738864427976691,dissipated
5,0.98,5.0,0.98,0.40505635584134414,0.41332281208300425,0.09607920320000007,0.006674114924235852,dissipated
5,0.99,5.0,0.99,0.4126058426335534,0.41677357841773066,0.04900995010000009,0.00714366121017346,dissipated
6,0.85,5.0,0.85,0.332627756661511,0.3913267725429541,0.622850484375,0.003842882463419494,dissipated
6,0.9,5.0,0.9,0.35490240167507164,0.3943360018611907,0.46855899999999995,0.004474369838772915,dissipated
6,0.95,5.0,0.95,0.3793253405185715,0.3992898321248121,0.2649081093750002,0.005313582565474764,dissipated
6,0.98,5.0,0.98,0.39629211908043793,0.40437971334738565,0.11415761913600009,0.006053302719592063,dissipated
6,0.99,5.0,0.99,0.4029247906842388,0.4069947380648877,0.058519850599,0.0064077342065616905,dissipated
